['commit_id', 'rule', 'counter']
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_block_expr_call_name_name > 1.1800000071525574', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_operator > 0.42499999701976776', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_operator <= 3.6600000858306885', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_name_name <= 0.19500000029802322', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'include_file <= 0.05000000074505806', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_name <= 2.3249999284744263', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_name_operator <= 0.5800000131130219', 2]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_operator > 0.13499999791383743', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_name > 2.6450001001358032', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_name_operator <= 0.8849999904632568', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_name <= 4.024999976158142', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_call_name_operator <= 0.5049999952316284', 2]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'include_file > -0.6099999845027924', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_name > 0.8799999952316284', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_operator <= 2.4950000047683716', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_name <= 0.9800000190734863', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_name <= 2.034999966621399', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_name <= 2.3550000190734863', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_name <= 2.6549999713897705', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_operator <= 2.615000009536743', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_argument_expr_operator <= 0.820000022649765', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_block_expr_call_argument_expr_name <= 0.3049999922513962', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_type_modifier > 0.45000000298023224', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_operator <= 2.7799999713897705', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_condition_expr_name <= 2.134999990463257', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'if_block_expr_call_name_name <= 0.9749999940395355', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_name > 0.0949999988079071', 2]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_name_operator <= 0.5600000023841858', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_operator > 0.23500000685453415', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_name <= 2.409999966621399', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_name_operator <= 0.8149999976158142', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_name <= 0.26999999582767487', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'expr_call_argument_expr_call_name > 0.26999999582767487', 1]
['adaa50e37da1fddada874a289792a1bd95c5aebc', 'decl_init_expr_operator <= 0.4649999886751175', 1]
