TokenPattern	PatternLength
for-block-block_content-for-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-name	100
class-block-expr_stmt-expr-throws-argument-expr-block-expr-call-argument_list-argument-expr-operator	100
for-block-block_content-try-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-name	100
do-if_stmt-else-block-block_content-class-block-function-block-block_content-expr_stmt-expr-operator	100
function-block-block_content-class-block-expr_stmt-expr-block-expr-block-expr-block-import-name-name	100
function-block-block_content-function-block-block_content-expr_stmt-expr-block-return-expr-name-name	100
class-block-class-block-class-block-function-block-block_content-expr_stmt-expr-block-expr-name-name	100
class-block-for-block-block_content-if_stmt-if-block-block_content-decl_stmt-decl-init-expr-operator	100
expr_stmt-expr-block-try-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-call-name	100
class-block-function-block-block_content-try-block-block_content-expr_stmt-expr-block-expr-call-name	100
package-block-block_content-function-block-block_content-decl_stmt-decl-init-expr-call-name-operator	100
try-block-block_content-try-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-name	100
class-block-function-block-block_content-expr_stmt-expr-block-if_stmt-if-block-block_content-comment	100
try-finally-block-block_content-function-block-block_content-decl_stmt-decl-init-expr-call-name-name	100
class-block-function-block-block_content-for-block-block_content-for-control-condition-expr-operator	100
function-block-block_content-return-expr-class-block-function-block-block_content-expr_stmt-operator	100
expr_stmt-expr-block-if_stmt-if-block-block_content-while-block-block_content-expr_stmt-expr-literal	100
class-block-decl_stmt-decl-init-expr-call-argument_list-argument-expr-ternary-condition-expr-literal	100
if_stmt-if-block-block_content-if_stmt-if-block-block_content-if_stmt-if-block-block_content-comment	100
function-block-block_content-function-block-block_content-expr_stmt-expr-block-return-expr-call-name	100
class-block-expr_stmt-expr-block-for-block-block_content-decl_stmt-decl-init-expr-call-argument_list	100
class-block-if_stmt-else-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-literal	100
function-block-block_content-function-block-block_content-expr_stmt-expr-block-return-expr-specifier	100
for-block-block_content-if_stmt-if-block-block_content-try-block-block_content-package-name-operator	100
block-block_content-if_stmt-else-block-block_content-for-control-init-decl-range-expr-call-name-name	100
function-block-block_content-synchronized-block-block_content-if_stmt-if-block-block_content-comment	100
for-expr_stmt-expr-block-expr-block-expr-block-expr-block-expr-call-argument_list-argument-expr-name	100
function-block-block_content-function-block-block_content-for-control-init-decl-range-expr-name-name	100
function-block-block_content-enum-block-expr-block-if_stmt-if-block-block_content-expr_stmt-operator	100
class-block-class-block-constructor-block-block_content-expr_stmt-expr-block-expr-call-argument_list	100
class-block-class-block-constructor-block-block_content-expr_stmt-expr-block-expr-call-name-operator	100
catch-block-block_content-if_stmt-if-block-block_content-decl_stmt-decl-init-expr-call-argument_list	100
function-block-block_content-interface-block-interface-block-function_decl-throws-argument-expr-name	100
function-block-block_content-try-block-block_content-expr_stmt-expr-block-expr-block-expr-name-index	100
static-block-block_content-enum-block-decl_stmt-decl-init-expr-call-name-argument_list-argument-name	100
class-block-class-block-expr_stmt-expr-block-catch-block-block_content-expr_stmt-expr-call-name-name	100
class-block-finally-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-call-name-name	100
class-block-constructor-block-block_content-constructor-block-block_content-expr_stmt-expr-call-name	100
constructor-block-block_content-constructor-block-block_content-expr_stmt-expr-block-expr-block-name	100
class-block-expr_stmt-expr-block-expr-call-argument_list-argument-expr-block-expr-call-name-operator	100
for-block-block_content-expr_stmt-expr-block-if_stmt-if-block-block_content-decl_stmt-decl-type-name	100
class-block-function-block-block_content-for-block-block_content-if_stmt-if-condition-expr-call-name	100
class-block-class-block-class-block-function-block-block_content-expr_stmt-expr-block-expr-specifier	100
for-block-block_content-for-block-block_content-function-block-block_content-function-type-specifier	100
class-block-if_stmt-if-block-block_content-expr_stmt-expr-call-argument_list-argument-expr-call-name	100
expr_stmt-expr-block-for-block-block_content-expr_stmt-expr-block-expr-block-expr-call-name-operator	100
expr_stmt-expr-block-for-block-block_content-expr_stmt-expr-block-expr-block-expr-block-expr-literal	100
class-block-expr_stmt-expr-block-expr-block-expr-call-argument_list-argument-expr-call-argument_list	100
class-block-function-block-block_content-try-block-block_content-expr_stmt-expr-block-expr-specifier	100
expr_stmt-expr-block-for-block-block_content-for-for-decl_stmt-decl-argument_list-argument-specifier	100
expr_stmt-expr-block-for-block-block_content-for-decl_stmt-decl-name-argument_list-argument-operator	100
package-block-block_content-function-block-block_content-expr_stmt-expr-throws-argument-expr-literal	100
expr_stmt-expr-block-expr-index-expr-block-expr-index-expr-block-expr-block-expr-block-expr-operator	100
if_stmt-if-block-block_content-if_stmt-else-block-block_content-function-block-block_content-comment	100
function-block-block_content-function-block-block_content-try-block-block_content-function-type-name	100
for-expr_stmt-expr-block-for-block-block_content-function-block-block_content-expr_stmt-expr-literal	100
class-block-function-block-block_content-if_stmt-else-block-block_content-return-expr-call-name-name	100
try-block-block_content-decl_stmt-decl-init-expr-call-argument_list-argument-expr-call-name-operator	100
try-block-block_content-decl_stmt-decl-init-expr-call-argument_list-argument-expr-call-argument_list	100
class-block-try-block-block_content-if_stmt-if-block-block_content-expr_stmt-expr-call-name-operator	100
class-block-try-block-block_content-class-block-expr_stmt-expr-call-argument_list-argument-expr-name	100
decl_stmt-decl-block-block_content-expr_stmt-expr-block-block_content-expr_stmt-expr-block-expr-name	100
catch-block-block_content-catch-block-block_content-catch-block-block_content-expr_stmt-expr-literal	100
expr_stmt-expr-block-if_stmt-if-block-block_content-function-parameter_list-parameter-decl-type-name	100
